Date,Movie ,Location,Showtime,Type,Age Rating
19-Nov-19,Parasite (Korean w/e.s.t),Scotiabank Theatre,7:20 PM,Regular,14A
19-Nov-19,Parasite (Korean w/e.s.t),Scotiabank Theatre,10:35 PM,Regular,14A
19-Nov-19,The Good Liar,Scotiabank Theatre,12:20 PM,Regular,14A
19-Nov-19,The Good Liar,Scotiabank Theatre,1:20 PM,Regular,14A
19-Nov-19,The Good Liar,Scotiabank Theatre,4:05 PM,Regular,14A
19-Nov-19,The Good Liar,Scotiabank Theatre,6:50 PM,Regular,14A
19-Nov-19,The Good Liar,Scotiabank Theatre,9:35 PM,Regular,14A
19-Nov-19,The Lighthouse,Scotiabank Theatre,2:00 PM,Regular,14A
19-Nov-19,The Lighthouse,Scotiabank Theatre,4:45 PM,Regular,14A
19-Nov-19,The Lighthouse,Scotiabank Theatre,7:30 PM,Regular,14A
19-Nov-19,The Lighthouse,Scotiabank Theatre,10:15 PM,Regular,14A
19-Nov-19,Zombieland 2: Double Tap,Scotiabank Theatre,1:00 PM,Regular,18A
19-Nov-19,Zombieland 2: Double Tap,Scotiabank Theatre,3:20 PM,Regular,18A
19-Nov-19,Zombieland 2: Double Tap,Scotiabank Theatre,5:40 PM,Regular,18A
19-Nov-19,Zombieland 2: Double Tap,Scotiabank Theatre,8:00 PM,Regular,18A
19-Nov-19,Zombieland 2: Double Tap,Scotiabank Theatre,10:40 PM,Regular,18A
19-Nov-19,Midway,Carlton Cinema,12:40 PM,Regular,PG
19-Nov-19,Midway,Carlton Cinema,3:40 PM,Regular,PG
19-Nov-19,Midway,Carlton Cinema,6:40 PM,Regular,PG
19-Nov-19,Midway,Carlton Cinema,9:40 PM,Regular,PG
19-Nov-19,Last Christmas,Carlton Cinema,1:00 PM,Regular,PG
19-Nov-19,Last Christmas,Carlton Cinema,4:00 PM,Regular,PG
19-Nov-19,Last Christmas,Carlton Cinema,7:00 PM,Regular,PG
19-Nov-19,Last Christmas,Carlton Cinema,9:45 PM,Regular,PG
19-Nov-19,Judy,Carlton Cinema,1:05 PM,Regular,PG
19-Nov-19,Judy,Carlton Cinema,4:05 PM,Regular,PG
19-Nov-19,Judy,Carlton Cinema,7:05 PM,Regular,PG
19-Nov-19,Judy,Carlton Cinema,9:55 PM,Regular,PG
19-Nov-19,Doctor Sleep,Carlton Cinema,12:30 PM,Regular,14A
19-Nov-19,Doctor Sleep,Carlton Cinema,3:30 PM,Regular,14A
19-Nov-19,Doctor Sleep,Carlton Cinema,6:30 PM,Regular,14A
19-Nov-19,Doctor Sleep,Carlton Cinema,9:25 PM,Regular,14A
19-Nov-19,Charlie's Angels,Carlton Cinema,12:55 PM,Regular,PG
19-Nov-19,Charlie's Angels,Carlton Cinema,3:55 PM,Regular,PG
19-Nov-19,Charlie's Angels,Carlton Cinema,6:55 PM,Regular,PG
